Order_ID,Order_Date,Customer_ID,Product,category,Quantity,Price,Revenue,Profit,Payment Method,Discount
O116,26-05-2025,C106,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0
O117,27-05-2025,C107,AC,Electronics,1,40000,40000,0,Credit,0.05
O118,28-05-2025,C108,Chair,Furniture,3,6000,18000,12000,Cash,0
O119,29-05-2025,C109,Laptop,Electronics,1,50000,50000,0,Cash,0.1
O120,30-05-2025,C110,Bookshelf Rack,Furniture,5,15000,75000,60000,Cash,0
O121,31-05-2025,C111,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0.05
O122,01-06-2025,C112,Sofa,Furniture,2,30000,60000,30000,Cash,0.1
O123,02-06-2025,C113,Chair,Furniture,1,6000,6000,0,Cash,0
O124,03-06-2025,C114,Mixer Grinder,Home Appliance,4,5000,20000,15000,Cash,0
O125,04-06-2025,C115,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.15
O126,05-06-2025,C116,AC,Electronics,4,40000,160000,120000,Cash,0.05
O127,06-06-2025,C117,Ceiling Fan,Home Appliance,2,25000,50000,25000,Cash,0
O128,07-06-2025,C118,Laptop,Electronics,1,50000,50000,0,Credit,0.1
O129,08-06-2025,C119,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0
O130,10-06-2025,C120,Sofa,Furniture,3,30000,90000,60000,Credit,0.05
O131,10-06-2025,C121,Monitor,Electronics,1,12000,12000,0,Credit,0
O132,11-06-2025,C122,Printer,Electronics,5,8000,40000,32000,Cash,0
O133,12-06-2025,C123,Mobile,Electronics,1,20000,20000,0,Cash,0.1
O134,13-06-2025,C124,Electric Kettle,Home Appliance,2,1800,3600,1800,Cash,0
O135,14-06-2025,C125,AC,Electronics,1,40000,40000,0,Credit,0.05
O136,15-06-2025,C126,Monitor,Electronics,3,12000,36000,24000,Cash,0
O137,16-06-2025,C127,Chair,Furniture,1,6000,6000,0,Cash,0.05
O138,17-06-2025,C128, AC,Electronics,4,40000,160000,120000,Cash,0
O139,18-06-2025,C129,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0.1
O140,19-06-2025,C130,Laptop,Electronics,1,50000,50000,0,Cash,0
O141,20-06-2025,C131,Sofa,Furniture,1,30000,30000,0,Credit,0.05
O142,21-06-2025,C132,Bookshelf Rack,Furniture,3,15000,45000,30000,Cash,0.1
O143,22-06-2025,C133,Mobile,Electronics,1,20000,20000,0,Cash,0
O144,23-06-2025,C134,Electric Kettle,Home Appliance,4,1800,7200,5400,Cash,0
O145,24-06-2025,C135,AC ,Electronics,1,40000,40000,0,Credit,0.15
O146,25-06-2025,C136,Mobile,Electronics,2,20000,40000,20000,Cash,0.05
O147,26-06-2025,C137,Sofa,Furniture,1,30000,30000,0,Cash,0
O148,27-06-2025,C138,Mixer Grinder,Home Appliance,5,5000,25000,20000,Cash,0.1
O149,28-06-2025,C139,Chair,Furniture,1,6000,6000,0,Cash,0
O150,29-06-2025,C140,Mobile,Electronics,4,20000,80000,60000,Cash,0.05
O151,30-06-2025,C141,AC,Electronics,2,40000,80000,40000,Cash,0
O152,01-07-2025,C142,Printer,Electronics,1,8000,8000,0,Credit,0
O153,02-07-2025,C143,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.1
O154,03-07-2025,C144,Bookshelf Rack,Furniture,3,15000,45000,30000,Cash,0
O155,04-07-2025,C145,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0.05
O156,05-07-2025,C146,Laptop,Electronics,4,50000,200000,150000,Credit,0
O157,06-07-2025,C147,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0.05
O158,07-07-2025,C148,Mobile,Electronics,2,20000,40000,20000,Cash,0
O159,08-07-2025,C149,Table,Furniture,1,25000,25000,0,Cash,0.1
O160,09-07-2025,C150,Ceiling Fan,Home Appliance,5,25000,125000,100000,Cash,0
O161,10-07-2025,C151,Sofa,Furniture,1,30000,30000,0,Credit,0.05
O162,11-07-2025,C152,Monitor,Electronics,4,12000,48000,36000,Cash,0.1
O163,12-07-2025,C153,Chair,Furniture,2,60000,120000,60000,Cash,0
O164,13-07-2025,C154,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0
O165,14-07-2025,C155,AC,Electronics,1,40000,40000,0,Credit,0.15
O166,15-07-2025,C156,Mobile,Electronics,3,20000,60000,40000,Cash,0.05
O167,16-07-2025,C157,Printer,Electronics,1,8000,8000,0,Cash,0
O168,17-07-2025,C158,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0.1
O169,18-07-2025,C159,Bookshelf Rack,Furniture,1,15000,15000,0,Cash,0
O170,19-07-2025,C160,Electric Kettle,Home Appliance,2,1800,3600,1800,Cash,0.05
O171,20-07-2025,C161, AC,Electronics,1,40000,40000,0,Credit,0
O172,21-07-2025,C162,Sofa,Furniture,4,30000,120000,90000,Credit,0
O173,22-07-2025,C163,Mobile,Electronics,1,20000,20000,0,Cash,0.1
O174,23-07-2025,C164,Ceiling Fan,Home Appliance,4,25000,100000,75000,Cash,0
O175,24-07-2025,C165,Chair,Furniture,2,60000,120000,60000,Credit,0.05
O176,25-07-2025,C166,Monitor,Electronics,1,12000,12000,0,Cash,0
O177,26-07-2025,C167,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0.05
O178,27-07-2025,C168,Bookshelf Rack,Furniture,3,15000,45000,30000,Cash,0
O179,28-07-2025,C169,Sofa,Furniture,1,30000,30000,0,Cash,0.1
O180,29-07-2025,C170,Ceiling Fan,Home Appliance,5,25000,125000,100000,Cash,0
O181,30-07-2025,C171,Printer,Electronics,1,8000,8000,0,Cash,0.15
O182,31-07-2025,C172,AC ,Electronics,4,40000,160000,120000,Cash,0.05
O183,01-08-2025,C173,Laptop,Electronics,3,50000,150000,100000,Cash,0.05
O184,03-08-2025,C174,Mobile,Electronics,2,20000,40000,20000,Credit,0.1
O185,04-08-2025,C175, Mixer Grinder,Home Appliance,3,5000,15000,10000,Cash,0
O186,06-08-2025,C176, Printer,Electronics,2,8000,16000,8000,Cash,0
O187,07-08-2025,C177,Table,Furniture,1,25000,25000,0,Cash,0.15
O188,09-08-2025,C178,AC,Electronics,2,40000,80000,40000,Cash,0.05
O189,10-08-2025,C179,Sofa,Furniture,2,30000,60000,30000,Credit,0
O190,11-08-2025,C180,Monitor,Electronics,1,12000,12000,0,Cash,0.1
O191,13-08-2025,C181, Chair,Furniture,5,6000,30000,24000,Cash,0
O192,14-08-2025,C182,Ceiling Fan,Home Appliance,1,2500,2500,0,Cash,0.05
O193,16-08-2025,C183,Electric Kettle,Home Appliance,4,1800,7200,5400,Cash,0
O194,17-08-2025,C184,Mixer Grinder,Home Appliance,2,5000,10000,5000,Credit,0
O195,19-08-2025,C185,Printer,Electronics,1,8000,8000,0,Credit,0.1
O196,20-08-2025,C186,AC,Electronics,4,50000,200000,150000,Cash,0
O197,21-08-2025,C187,Bookshelf Rack,Furniture,3,15000,45000,30000,Cash,0.05
O198,23-08-2025,C188,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0
O199,25-08-2025,C189,Mobile,Electronics,2,20000,40000,20000,Cash,0.05
O200,26-08-2025,C190,Monitor,Electronics,2,12000,24000,12000,Cash,0
O201,28-08-2025,C191,Ceiling Fan,Home Appliance,3,25000,75000,50000,Cash,0.1
O202,29-08-2025,C192,Sofa,Furniture,1,30000,30000,0,Cash,0
O203,30-08-2025,C193,Table,Furniture,3,25000,75000,50000,Credit,0.05
O204,31-08-2025,C194,AC,Electronics,1,50000,50000,0,Cash,0.1
O205,01-09-2025,C195,Laptop,Electronics,3,50000,150000,100000,Cash,0.15
O206,02-09-2025,C196,Mobile,Electronics,2,20000,40000,20000,Credit,0.05
O207,03-09-2025,C197, Mixer Grinder,Home Appliance,3,5000,15000,10000,Credit,0
O208,04-09-2025,C198, Printer,Electronics,2,8000,16000,8000,Cash,0.1
O209,05-09-2025,C199,Table,Furniture,1,25000,25000,0,Cash,0
O210,06-09-2025,C200,AC,Electronics,2,40000,80000,40000,Cash,0.05
O211,07-09-2025,C201,Sofa,Furniture,2,30000,60000,30000,Credit,0
O212,08-09-2025,C202,Monitor,Electronics,1,12000,12000,0,Cash,0
O213,09-09-2025,C203, Chair,Furniture,5,6000,30000,24000,Cash,0.1
O214,10-09-2025,C204,Ceiling Fan,Home Appliance,1,2500,2500,0,Cash,0
O215,11-09-2025,C205,Electric Kettle,Home Appliance,4,1800,7200,5400,Cash,0.05
O216,12-09-2025,C206,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0
O217,13-09-2025,C207,Printer,Electronics,1,8000,8000,0,Credit,0.05
O218,14-09-2025,C208,AC,Electronics,4,50000,200000,150000,Cash,0
O219,15-09-2025,C209,Bookshelf Rack,Furniture,3,15000,45000,30000,Cash,0.1
O220,16-09-2025,C210,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0
O221,17-09-2025,C211,Mobile,Electronics,2,20000,40000,20000,Credit,0.05
O222,18-09-2025,C212,Monitor,Electronics,2,12000,24000,12000,Cash,0.1
O223,19-09-2025,C213,Ceiling Fan,Home Appliance,3,25000,75000,50000,Cash,0
O224,20-09-2025,C214,Sofa,Furniture,1,30000,30000,0,Cash,0
O225,21-09-2025,C215,Table,Furniture,3,25000,75000,50000,Cash,0.15
O226,22-09-2025,C216,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.05
O227,23-09-2025,C217,AC,Electronics,4,40000,160000,120000,Cash,0
O228,24-09-2025,C218,Chair,Furniture,1,6000,6000,0,Credit,0.1
O229,25-09-2025,C219,Laptop,Electronics,1,50000,50000,0,Cash,0
O230,26-09-2025,C220,Bookshelf Rack,Furniture,2,15000,30000,15000,Cash,0.05
O231,27-09-2025,C221,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0
O232,28-09-2025,C222,Sofa,Furniture,2,30000,60000,30000,Credit,0
O233,29-09-2025,C223,Chair,Furniture,1,6000,6000,0,Cash,0.1
O234,30-09-2025,C224,Mixer Grinder,Home Appliance,4,5000,20000,15000,Cash,0
O235,01-10-2025,C225,Mixer Grinder,Home Appliance,2,5000,10000,5000,Cash,0.05
O236,02-10-2025,C226,AC,Electronics,1,40000,40000,0,Cash,0
O237,03-10-2025,C227,Ceiling Fan,Home Appliance,1,25000,25000,0,Credit,0.05
O238,04-10-2025,C228,Laptop,Electronics,3,50000,150000,100000,Cash,0
O239,05-10-2025,C229,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0.1
O240,06-10-2025,C230,Sofa,Furniture,5,30000,150000,120000,Cash,0
O241,07-10-2025,C231,Monitor,Electronics,1,12000,12000,0,Credit,0.05
O242,08-10-2025,C232,Printer,Electronics,2,8000,16000,8000,Cash,0.1
O243,09-10-2025,C233,Mobile,Electronics,1,20000,20000,0,Cash,0
O244,10-10-2025,C234,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0
O245,11-10-2025,C235,AC,Electronics,1,40000,40000,0,Cash,0.15
O246,12-10-2025,C236,Monitor,Electronics,4,12000,48000,36000,Cash,0.05
O247,13-10-2025,C237,Chair,Furniture,2,6000,12000,6000,Credit,0
O248,14-10-2025,C238, AC,Electronics,5,40000,200000,160000,Credit,0.1
O249,15-10-2025,C239,Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0
O250,16-10-2025,C240,Laptop,Electronics,3,50000,150000,100000,Cash,0.05
O251,17-10-2025,C241,Sofa,Furniture,1,30000,30000,0,Cash,0
O252,18-10-2025,C242,Bookshelf Rack,Furniture,5,15000,75000,60000,Credit,0
O253,19-10-2025,C243,Mobile,Electronics,1,20000,20000,0,Credit,0.1
O254,20-10-2025,C244,Electric Kettle,Home Appliance,2,1800,3600,1800,Cash,0
O255,21-10-2025,C245,AC ,Electronics,1,40000,40000,0,Cash,0.05
O256,22-10-2025,C246,Mobile,Electronics,3,20000,60000,40000,Cash,0
O257,23-10-2025,C247,Sofa,Furniture,1,30000,30000,0,Credit,0.05
O258,24-10-2025,C248,Mixer Grinder,Home Appliance,4,5000,20000,15000,Cash,0
O259,25-10-2025,C249,Chair,Furniture,2,6000,12000,6000,Cash,0.1
O260,26-10-2025,C250,Mobile,Electronics,1,20000,20000,0,Cash,0
O261,27-10-2025,C251,AC,Electronics,1,40000,40000,0,Cash,0.05
O262,28-10-2025,C252,Printer,Electronics,3,8000,24000,16000,Cash,0.1
O263,29-10-2025,C253,Mixer Grinder,Home Appliance,1,5000,5000,0,Credit,0
O264,30-10-2025,C254,Bookshelf Rack,Furniture,4,15000,60000,45000,Cash,0
O265,31-10-2025,C255,Water Purifier,Home Appliance,1,5500,5500,0,Cash,0.15
O266,01-11-2025,C256,Laptop,Electronics,2,50000,100000,50000,Cash,0.05
O267,02-11-2025,C257,Electric Kettle,Home Appliance,1,1800,1800,0,Credit,0
O268,03-11-2025,C258,Mobile,Electronics,5,20000,100000,80000,Cash,0.1
O269,04-11-2025,C259,Table,Furniture,1,25000,25000,0,Cash,0
O270,05-11-2025,C260,Ceiling Fan,Home Appliance,4,25000,100000,75000,Cash,0.05
O271,06-11-2025,C261,Sofa,Furniture,2,30000,60000,30000,Cash,0
O272,07-11-2025,C262,Monitor,Electronics,1,12000,12000,0,Cash,0
O273,08-11-2025,C263,Chair,Furniture,1,60000,60000,0,Cash,0.1
O274,09-11-2025,C264,Water Purifier,Home Appliance,3,5500,16500,11000,Credit,0
O275,10-11-2025,C265,AC,Electronics,1,40000,40000,0,Cash,0.05
O276,11-11-2025,C266,Mobile,Electronics,1,20000,20000,0,Cash,0
O277,12-11-2025,C267,Printer,Electronics,1,8000,8000,0,Cash,0.05
O278,13-11-2025,C268,Mixer Grinder,Home Appliance,2,5000,10000,5000,Credit,0
O279,14-11-2025,C269,Bookshelf Rack,Furniture,1,15000,15000,0,Cash,0.1
O280,15-11-2025,C270,Electric Kettle,Home Appliance,4,1800,7200,5400,Cash,0
O281,16-11-2025,C271, AC,Electronics,1,40000,40000,0,Cash,0.05
O282,17-11-2025,C272,Sofa,Furniture,4,30000,120000,90000,Cash,0.1
O283,18-11-2025,C273,Mobile,Electronics,2,20000,40000,20000,Credit,0
O284,19-11-2025,C274,Ceiling Fan,Home Appliance,1,25000,25000,0,Cash,0
O285,20-11-2025,C275,Chair,Furniture,1,60000,60000,0,Cash,0.15
O286,21-11-2025,C276,Monitor,Electronics,3,12000,36000,24000,Cash,0.05
O287,22-11-2025,C277,Water Purifier,Home Appliance,1,5500,5500,0,Credit,0
O288,23-11-2025,C278,Bookshelf Rack,Furniture,5,15000,75000,60000,Cash,0.1
O289,24-11-2025,C279,Sofa,Furniture,1,30000,30000,0,Cash,0
O290,25-11-2025,C280,Ceiling Fan,Home Appliance,2,25000,50000,25000,Cash,0.05
O291,26-11-2025,C281,Printer,Electronics,1,8000,8000,0,Cash,0
O292,27-11-2025,C282,AC ,Electronics,1,40000,40000,0,Cash,0
O293,28-11-2025,C283,Monitor,Electronics,1,12000,12000,0,Credit,0.1
O294,29-11-2025,C284,Laptop,Electronics,4,50000,200000,150000,Credit,0
O295,30-11-2025,C285,Sofa,Furniture,2,30000,60000,30000,Cash,0.05
O296,01-12-2025,C286,Bookshelf Rack,Furniture,1,15000,15000,0,Cash,0
O297,02-12-2025,C287,Electric Kettle,Home Appliance,1,1800,1800,0,Cash,0.05
O298,03-12-2025,C288,Mobile,Electronics,3,20000,60000,40000,Credit,0
O299,04-12-2025,C289,Laptop,Electronics,1,50000,50000,0,Credit,0.1
O300,05-12-2025,C290,Mobile,Electronics,4,20000,80000,60000,Cash,0
O301,06-12-2025,C291, Mixer Grinder,Home Appliance,1,5000,5000,0,Cash,0.05
O302,07-12-2025,C292, Printer,Electronics,2,8000,16000,8000,Cash,0.1
O303,08-12-2025,C293,Table,Furniture,1,25000,25000,0,Credit,0
O304,09-12-2025,C294,AC,Electronics,5,40000,200000,160000,Cash,0
O305,10-12-2025,C295,Sofa,Furniture,1,30000,30000,0,Cash,0.15
O306,11-12-2025,C296,Monitor,Electronics,4,12000,48000,36000,Cash,0.05
O307,13-12-2025,C297, Chair,Furniture,2,6000,12000,6000,Cash,0
O308,15-12-2025,C298,Ceiling Fan,Home Appliance,1,2500,2500,0,Cash,0.1
O309,17-12-2025,C299,Electric Kettle,Home Appliance,1,1800,1800,0,Credit,0
O310,18-12-2025,C300,Mixer Grinder,Home Appliance,3,5000,15000,10000,Cash,0.05
O311,19-12-2025,C301,Printer,Electronics,1,8000,8000,0,Cash,0
O312,21-12-2025,C302,AC,Electronics,3,50000,150000,100000,Cash,0
O313,22-12-2025,C303,Bookshelf Rack,Furniture,1,15000,15000,0,Credit,0.1
O314,23-12-2025,C304,Water Purifier,Home Appliance,2,5500,11000,5500,Cash,0
O315,24-12-2025,C305,Mobile,Electronics,1,20000,20000,0,Cash,0.05
O316,26-12-2025,C306,Monitor,Electronics,4,12000,48000,36000,Cash,0
O317,27-12-2025,C307,Ceiling Fan,Home Appliance,1,25000,25000,0,Cash,0.05
O318,29-12-2025,C308,Sofa,Furniture,4,30000,120000,90000,Cash,0
O319,30-12-2025,C309,Table,Furniture,2,25000,50000,25000,Cash,0.1
O320,31-12-2025,C310,Mixer Grinder,Home Appliance,3,5000,15000,10000,Credit,0
O321,01-01-2026,C311,Laptop,Electronics,2,50000,100000,50000,Cash,0.05
O322,02-01-2026,C312,Mobile,Electronics,1,20000,20000,0,Cash,0.1
O323,03-01-2026,C313, Mixer Grinder,Home Appliance,4,5000,20000,15000,Cash,0
O324,04-01-2026,C314, Printer,Electronics,2,8000,16000,8000,Credit,0
O325,05-01-2026,C315,Table,Furniture,1,25000,25000,0,Cash,0.15
O326,06-01-2026,C316,AC,Electronics,1,40000,40000,0,Cash,0.05
O327,07-01-2026,C317,Sofa,Furniture,3,30000,90000,60000,Credit,0
O328,08-01-2026,C318,Monitor,Electronics,1,12000,12000,0,Credit,0.1
O329,09-01-2026,C319, Chair,Furniture,5,6000,30000,24000,Cash,0
O330,10-01-2026,C320,Ceiling Fan,Home Appliance,1,2500,2500,0,Cash,0.05
