Order_id,Product Name,Category,Region,Quantity,Sales,Profit,Order Date,,
O63,Smartwatch,Electronics,North,5,830,58.28,18-01-2022,,
O64,Smartwatch,Electronics,North,1,851,93.56,18-01-2022,,
O65,Tablet,Electronics,East,5,4730,1365.63,18-01-2022,,
O66,Mouse,Accessories,West,6,5460,845.75,19-01-2022,,
O67,Headphones,Accessories,East,5,5795,310.6,19-01-2022,,
O68,Laptop,Electronics,South,4,2008,338.44,19-01-2022,,
O69,Mouse,Accessories,South,7,2842,425.24,19-01-2022,,
O70,Mouse,Accessories,East,4,3404,392.22,19-01-2022,,
O71,Smartwatch,Electronics,West,1,1065,228.63,19-01-2022,,
O72,Tablet,Electronics,West,7,2149,121.69,20-01-2022,,
O73,Keyboard,Accessories,East,8,5912,1143.04,20-01-2022,,
O74,Mouse,Accessories,West,3,3348,331.28,21-01-2022,,
O75,Smartphone,Electronics,South,3,2409,531.79,21-01-2022,,
O76,Tablet,Electronics,North,2,328,39.51,21-01-2022,,
O77,Smartphone,Electronics,West,8,6224,1561.42,22-01-2022,,
O78,Smartwatch,Electronics,North,5,2530,486.09,22-01-2022,,
O79,Headphones,Accessories,West,4,4108,462.17,23-01-2022,,
O80,Printer,Office,South,5,1640,391.36,23-01-2022,,
O81,Laptop,Electronics,South,1,111,19.33,24-01-2022,,
O82,Headphones,Accessories,North,1,445,128.89,24-01-2022,,
O83,Printer,Office,North,4,3600,623.72,25-01-2022,,
O84,Mouse,Accessories,North,3,1335,176.44,25-01-2022,,
O85,Keyboard,Accessories,South,5,3090,242.15,26-01-2022,,
O86,Printer,Office,East,5,3910,538.52,26-01-2022,,
O87,Camera,Electronics,South,1,219,32.67,26-01-2022,,
O88,Smartphone,Electronics,West,5,390,27.77,26-01-2022,,
O89,Laptop,Electronics,North,6,3294,359.61,26-01-2022,,
O90,Keyboard,Accessories,West,4,4572,1038.05,27-01-2022,,
O91,Monitor,Accessories,South,7,980,109.94,27-01-2022,,
O92,Headphones,Accessories,North,2,2262,532.12,27-01-2022,,
O93,Camera,Electronics,South,7,7518,1655.91,27-01-2022,,
O94,Camera,Electronics,South,1,873,158.97,28-01-2022,,
O95,Mouse,Accessories,North,6,1512,423.03,28-01-2022,,
O96,Laptop,Electronics,West,1,705,165.16,28-01-2022,,
O97,Smartwatch,Electronics,North,8,3256,533.7,28-01-2022,,
O98,Tablet,Electronics,West,4,556,81.77,28-01-2022,,
O99,Mouse,Accessories,East,9,7101,2105.82,29-01-2022,,
O100,Laptop,Electronics,West,9,8802,1344.96,29-01-2022,,
O101,Headphones,Accessories,South,6,5592,1294.16,29-01-2022,,
O102,Tablet,Electronics,North,2,1852,168.92,29-01-2022,,
O103,Monitor,Accessories,East,1,195,57.88,29-01-2022,,
O104,Mouse,Accessories,East,9,7884,2054.02,29-01-2022,,
O105,Laptop,Electronics,East,5,4360,1160.55,30-01-2022,,
O106,Mouse,Accessories,North,6,4920,929.18,31-01-2022,,
O107,Mouse,Accessories,East,3,3474,565,31-01-2022,,
O108,Keyboard,Accessories,West,1,930,222.5,31-01-2022,,
O109,Tablet,Electronics,South,7,1421,248.02,31-01-2022,,
O110,Headphones,Accessories,North,2,634,161.1,31-01-2022,,
O111,Camera,Electronics,East,1,673,114.42,31-01-2022,,
O112,Mouse,Accessories,South,5,3135,787.7,31-01-2022,,
O113,Smartphone,Electronics,East,6,882,184.48,31-01-2022,,
O114,Smartphone,Electronics,East,4,1192,212.77,01-02-2022,,
O115,Printer,Office,South,3,390,112.08,02-02-2022,,
O116,Tablet,Electronics,North,1,834,95.54,02-02-2022,,
O117,Smartphone,Electronics,East,6,612,83.75,03-02-2022,,
O118,Headphones,Accessories,West,9,8073,710.23,03-02-2022,,
O119,Keyboard,Accessories,North,8,2640,723.88,03-02-2022,,
O120,Smartphone,Electronics,North,3,3234,440.7,03-02-2022,,
O121,Monitor,Accessories,West,5,4435,355.51,04-02-2022,,
O122,Smartwatch,Electronics,North,2,2302,305.07,05-02-2022,,
O123,Camera,Electronics,East,6,1728,307.44,05-02-2022,,
O124,Laptop,Electronics,East,4,228,54.05,05-02-2022,,
O125,Tablet,Electronics,West,6,3450,705.74,05-02-2022,,
O126,Smartphone,Electronics,South,8,7456,1702.48,07-02-2022,,
O127,Smartphone,Electronics,West,6,4728,705.85,07-02-2022,,
O128,Smartwatch,Electronics,North,7,945,124.62,07-02-2022,,
O129,Laptop,Electronics,North,4,296,65.05,08-02-2022,,
O130,Smartphone,Electronics,West,4,640,149.89,08-02-2022,,
O131,Tablet,Electronics,North,1,797,65.27,08-02-2022,,
O132,Monitor,Accessories,North,4,1456,431.89,08-02-2022,,
O133,Monitor,Accessories,South,6,4038,364.11,08-02-2022,,
O134,Tablet,Electronics,West,7,5656,355.81,08-02-2022,,
O135,Mouse,Accessories,West,4,3876,302.37,08-02-2022,,
O136,Keyboard,Accessories,South,6,1002,114.7,08-02-2022,,
O137,Headphones,Accessories,East,9,2187,413.76,09-02-2022,,
O138,Mouse,Accessories,North,6,7146,1627.42,09-02-2022,,
O139,Keyboard,Accessories,South,1,189,14.88,10-02-2022,,
O140,Monitor,Accessories,East,5,940,266.02,11-02-2022,,
O141,Headphones,Accessories,North,1,951,127.58,11-02-2022,,
O142,Printer,Office,East,2,124,27.42,11-02-2022,,
O143,Mouse,Accessories,West,9,7506,594.28,11-02-2022,,
O144,Monitor,Accessories,West,7,8176,2308.76,11-02-2022,,
O145,Smartphone,Electronics,East,5,2125,632.68,11-02-2022,,
O146,Headphones,Accessories,North,1,967,59.98,12-02-2022,,
O147,Headphones,Accessories,South,5,270,29.41,13-02-2022,,
O148,Keyboard,Accessories,West,9,10035,1486.3,13-02-2022,,
O149,Printer,Office,North,8,6792,1125.23,13-02-2022,,
O150,Printer,Office,East,1,714,99.13,13-02-2022,,
O151,Smartphone,Electronics,South,5,765,157.64,13-02-2022,,
O152,Headphones,Accessories,East,7,4221,358.02,13-02-2022,,
O153,Laptop,Electronics,North,4,2108,576.48,14-02-2022,,
O154,Monitor,Accessories,North,9,10530,2387.63,14-02-2022,,
O155,Keyboard,Accessories,South,6,3396,914.17,15-02-2022,,
O156,Monitor,Accessories,North,4,1060,213.05,15-02-2022,,
O157,Tablet,Electronics,East,5,480,73.07,15-02-2022,,
O158,Headphones,Accessories,West,3,2529,285.65,16-02-2022,,
O159,Smartwatch,Electronics,East,8,4792,511.97,16-02-2022,,
O160,Smartwatch,Electronics,East,8,8056,605.8,16-02-2022,,
O161,Tablet,Electronics,North,4,4228,947.76,16-02-2022,,
O162,Tablet,Electronics,East,1,653,93.78,17-02-2022,,
O163,Tablet,Electronics,North,9,7452,1212.51,17-02-2022,,
O164,Mouse,Accessories,East,4,4128,1156.71,17-02-2022,,
O165,Tablet,Electronics,West,5,5090,1201.56,17-02-2022,,
O166,Camera,Electronics,North,5,4930,387.33,18-02-2022,,
O167,Smartwatch,Electronics,South,6,2610,434.37,18-02-2022,,
O168,Laptop,Electronics,North,3,2139,415.84,18-02-2022,,
O169,Tablet,Electronics,South,1,226,55.4,18-02-2022,,
O170,Smartwatch,Electronics,West,2,2244,212.08,19-02-2022,,
O171,Monitor,Accessories,East,6,3150,578.87,19-02-2022,,
O172,Laptop,Electronics,South,7,3388,347.19,19-02-2022,,
O173,Laptop,Electronics,East,8,8736,580.31,19-02-2022,,
O174,Smartphone,Electronics,South,2,1102,176.53,19-02-2022,,
O175,Monitor,Accessories,East,3,2640,199.97,21-02-2022,,
O176,Printer,Office,West,3,2547,300.74,22-02-2022,,
O177,Laptop,Electronics,North,7,728,64.82,22-02-2022,,
O178,Camera,Electronics,South,7,3444,607.44,22-02-2022,,
O179,Camera,Electronics,West,5,3140,853.66,23-02-2022,,
O180,Smartphone,Electronics,East,3,435,129.27,23-02-2022,,
O181,Keyboard,Accessories,East,4,856,72.99,24-02-2022,,
O182,Printer,Office,North,2,112,23.33,24-02-2022,,
O183,Headphones,Accessories,North,3,2247,507.79,24-02-2022,,
O184,Keyboard,Accessories,West,2,1512,298.73,24-02-2022,,
O185,Mouse,Accessories,South,5,4915,1196.6,25-02-2022,,
O186,Mouse,Accessories,South,3,2709,663.54,25-02-2022,,
O187,Tablet,Electronics,North,7,1239,118.36,25-02-2022,,
O188,Tablet,Electronics,West,2,572,86.16,25-02-2022,,
O189,Smartwatch,Electronics,North,2,1708,93.25,26-02-2022,,
O190,Smartwatch,Electronics,North,4,360,42.66,27-02-2022,,
O191,Camera,Electronics,North,6,3822,388.34,27-02-2022,,
O192,Camera,Electronics,North,6,4680,932.97,27-02-2022,,
O193,Camera,Electronics,North,5,2520,487.18,28-02-2022,,
O194,Smartwatch,Electronics,North,2,2138,619.29,28-02-2022,,
O195,Keyboard,Accessories,West,3,2529,169.6,01-03-2022,,
O196,Keyboard,Accessories,East,1,236,29.33,02-03-2022,,
O197,Tablet,Electronics,West,6,2730,636.48,02-03-2022,,
O198,Headphones,Accessories,North,3,3021,872.49,02-03-2022,,
O199,Smartwatch,Electronics,North,2,244,16.78,03-03-2022,,
O200,Camera,Electronics,South,8,728,120.06,03-03-2022,,
O201,Mouse,Accessories,North,3,453,89.49,03-03-2022,,
O202,Laptop,Electronics,South,1,379,84.38,03-03-2022,,
O203,Tablet,Electronics,West,3,2130,510.69,03-03-2022,,
O204,Monitor,Accessories,North,8,4120,710.11,04-03-2022,,
O205,Smartwatch,Electronics,South,7,3150,299.7,04-03-2022,,
O206,Smartwatch,Electronics,East,7,2688,603.07,05-03-2022,,
O207,Tablet,Electronics,East,2,1752,501.19,05-03-2022,,
O208,Keyboard,Accessories,North,7,7308,948.4,05-03-2022,,
O209,Tablet,Electronics,North,3,2007,160.84,05-03-2022,,
O210,Tablet,Electronics,West,7,7224,479.23,05-03-2022,,
O211,Monitor,Accessories,South,9,6939,1249.31,06-03-2022,,
O212,Smartphone,Electronics,East,7,5516,1475.67,07-03-2022,,
O213,Printer,Office,South,2,2224,116.47,07-03-2022,,
O214,Laptop,Electronics,South,5,3985,824.4,08-03-2022,,
O215,Camera,Electronics,North,7,2723,638.26,08-03-2022,,
O216,Tablet,Electronics,North,2,746,170.75,08-03-2022,,
O217,Laptop,Electronics,West,5,3170,245.25,09-03-2022,,
O218,Smartwatch,Electronics,East,5,550,63.11,09-03-2022,,
O219,Tablet,Electronics,North,8,480,132.45,09-03-2022,,
O220,Printer,Office,East,4,3284,354.4,10-03-2022,,
O221,Smartwatch,Electronics,South,2,1748,183.75,10-03-2022,,
O222,Headphones,Accessories,North,8,824,240.84,10-03-2022,,
O223,Headphones,Accessories,North,4,1872,448.46,10-03-2022,,
O224,Tablet,Electronics,West,3,627,103.98,10-03-2022,,
O225,Camera,Electronics,East,9,5661,1104.02,10-03-2022,,
O226,Camera,Electronics,North,3,2910,765.47,10-03-2022,,
O227,Tablet,Electronics,South,9,9036,1087.46,10-03-2022,,
O228,Tablet,Electronics,West,5,4815,338.31,11-03-2022,,
O229,Mouse,Accessories,South,1,1187,206.28,12-03-2022,,
O230,Headphones,Accessories,East,3,3339,732.92,12-03-2022,,
O231,Tablet,Electronics,East,1,620,165.43,12-03-2022,,
O232,Camera,Electronics,West,5,2025,414.42,12-03-2022,,
O233,Printer,Office,East,5,3030,811.92,12-03-2022,,
O234,Smartwatch,Electronics,North,5,655,166.69,12-03-2022,,
O235,Printer,Office,West,2,2238,294.54,12-03-2022,,
O236,Smartphone,Electronics,South,8,3312,811.31,13-03-2022,,
O237,Printer,Office,East,9,9387,1271.64,13-03-2022,,
O238,Mouse,Accessories,West,6,5790,1285.21,13-03-2022,,
O239,Laptop,Electronics,South,6,2700,527.97,14-03-2022,,
O240,Smartwatch,Electronics,East,8,2072,555.06,14-03-2022,,
O241,Keyboard,Accessories,North,3,2991,716.54,14-03-2022,,
O242,Laptop,Electronics,East,6,5568,958.59,14-03-2022,,
O243,Smartwatch,Electronics,North,7,5509,1648.74,15-03-2022,,
O244,Printer,Office,West,7,5922,1323.1,15-03-2022,,
O245,Smartphone,Electronics,South,4,4380,362.81,15-03-2022,,
O246,Tablet,Electronics,South,5,1760,272.68,15-03-2022,,
O247,Headphones,Accessories,North,9,5571,1523.81,15-03-2022,,
O248,Tablet,Electronics,South,2,1082,182.1,15-03-2022,,
O249,Camera,Electronics,East,1,569,138.11,16-03-2022,,
O250,Mouse,Accessories,North,8,3416,697.42,16-03-2022,,
O251,Printer,Office,West,1,570,57.07,17-03-2022,,
O252,Monitor,Accessories,East,6,3300,386.92,17-03-2022,,
O253,Laptop,Electronics,South,8,2584,568.77,17-03-2022,,
O254,Monitor,Accessories,South,9,7650,2204.44,18-03-2022,,
O255,Headphones,Accessories,West,8,3600,272.51,18-03-2022,,
O256,Monitor,Accessories,West,6,846,190.87,18-03-2022,,
O257,Smartphone,Electronics,West,1,51,9.36,19-03-2022,,
O258,Smartwatch,Electronics,South,6,7056,586.91,19-03-2022,,
O259,Smartwatch,Electronics,West,2,384,38.41,19-03-2022,,
O260,Laptop,Electronics,South,8,2928,663.54,19-03-2022,,
O261,Camera,Electronics,West,7,1904,352.86,19-03-2022,,
O262,Tablet,Electronics,East,2,2314,312.07,19-03-2022,,
O263,Printer,Office,South,4,1028,192.13,19-03-2022,,
O264,Headphones,Accessories,South,9,8307,1326.23,19-03-2022,,
O265,Printer,Office,West,9,1539,203.54,20-03-2022,,
O266,Tablet,Electronics,West,7,2506,537.98,20-03-2022,,
O267,Smartphone,Electronics,West,6,5778,1232.54,21-03-2022,,
O268,Tablet,Electronics,East,9,10188,2165.78,21-03-2022,,
O269,Monitor,Accessories,North,1,952,157.7,23-03-2022,,
O270,Smartwatch,Electronics,West,8,3624,750.86,23-03-2022,,
O271,Keyboard,Accessories,South,8,7968,1551.12,23-03-2022,,
O272,Mouse,Accessories,South,2,1254,250.09,23-03-2022,,
O273,Printer,Office,West,3,705,196.05,24-03-2022,,
O274,Mouse,Accessories,West,1,916,223.5,25-03-2022,,
O275,Printer,Office,North,2,848,129.96,25-03-2022,,
O276,Monitor,Accessories,East,8,2240,313.17,25-03-2022,,
O277,Monitor,Accessories,South,1,940,120.35,25-03-2022,,
O278,Headphones,Accessories,West,5,1550,203.51,25-03-2022,,
O279,Keyboard,Accessories,South,7,2352,256.4,26-03-2022,,
O280,Smartwatch,Electronics,North,9,1638,183.75,26-03-2022,,
O281,Camera,Electronics,North,6,7164,1442.72,26-03-2022,,
O282,Mouse,Accessories,East,1,205,54.54,27-03-2022,,
O283,Keyboard,Accessories,North,2,766,49.23,27-03-2022,,
O284,Keyboard,Accessories,North,1,168,17.84,27-03-2022,,
O285,Mouse,Accessories,South,1,1058,207.55,27-03-2022,,
O286,Keyboard,Accessories,South,5,1455,423.81,27-03-2022,,
O287,Camera,Electronics,East,2,2224,364.04,28-03-2022,,
O288,Smartphone,Electronics,West,7,1400,80.49,28-03-2022,,
O289,Smartphone,Electronics,East,7,7567,2213.18,28-03-2022,,
O290,Tablet,Electronics,East,6,3396,987.68,29-03-2022,,
O291,Smartwatch,Electronics,East,2,704,135.63,29-03-2022,,
O292,Tablet,Electronics,East,9,7767,2172.19,29-03-2022,,
O293,Mouse,Accessories,West,5,2050,157.13,31-03-2022,,
O294,Monitor,Accessories,North,9,10458,2799.48,31-03-2022,,
O295,Camera,Electronics,South,4,4700,619.26,31-03-2022,,
O296,Smartphone,Electronics,North,2,892,222.51,31-03-2022,,
O297,Laptop,Electronics,East,8,6968,1479.09,02-04-2022,,
O298,Laptop,Electronics,North,7,1344,300.88,02-04-2022,,
O299,Camera,Electronics,West,1,354,65.99,02-04-2022,,
O300,Monitor,Accessories,South,3,3051,662.23,03-04-2022,,
O301,Camera,Electronics,South,3,402,106.87,03-04-2022,,
O302,Monitor,Accessories,North,5,3570,517.82,03-04-2022,,
O303,Keyboard,Accessories,North,7,3829,876.35,04-04-2022,,
O304,Mouse,Accessories,North,7,4676,242.64,05-04-2022,,
O305,Keyboard,Accessories,East,3,1119,317.36,06-04-2022,,
O306,Smartphone,Electronics,East,4,4228,764.3,06-04-2022,,
O307,Headphones,Accessories,North,8,1240,251.2,07-04-2022,,
O308,Keyboard,Accessories,North,9,3591,342.18,07-04-2022,,
O309,Printer,Office,West,8,3952,451.08,07-04-2022,,
O310,Keyboard,Accessories,South,6,3648,1050.08,07-04-2022,,
O311,Monitor,Accessories,North,5,3875,768.74,07-04-2022,,
O312,Smartwatch,Electronics,West,8,3416,478.9,07-04-2022,,
O313,Tablet,Electronics,West,1,908,222.58,08-04-2022,,
O314,Headphones,Accessories,South,4,4532,987.32,08-04-2022,,
O315,Headphones,Accessories,East,4,4168,650.15,08-04-2022,,
O316,Laptop,Electronics,North,3,3543,941.37,09-04-2022,,
O317,Laptop,Electronics,East,6,5124,1078.57,09-04-2022,,
O318,Smartwatch,Electronics,South,9,5751,1196.23,09-04-2022,,
O319,Camera,Electronics,East,2,624,139.64,09-04-2022,,
O320,Camera,Electronics,South,1,508,151.29,09-04-2022,,
O321,Headphones,Accessories,South,4,4700,914.6,10-04-2022,,
O322,Keyboard,Accessories,West,8,3216,639.78,10-04-2022,,
O323,Laptop,Electronics,West,6,2844,581,10-04-2022,,
O324,Smartphone,Electronics,West,5,2385,258.6,10-04-2022,,
O325,Monitor,Accessories,South,8,928,170.05,11-04-2022,,
O326,Headphones,Accessories,North,6,4656,673.35,11-04-2022,,
O327,Headphones,Accessories,North,2,330,21.46,11-04-2022,,
O328,Camera,Electronics,North,7,1799,274.11,12-04-2022,,
O329,Printer,Office,East,1,1029,173.61,13-04-2022,,
O330,Headphones,Accessories,North,8,5432,1619.39,13-04-2022,,
O331,Camera,Electronics,West,5,5785,1191.11,13-04-2022,,
O332,Printer,Office,North,1,1062,272.42,14-04-2022,,
O333,Keyboard,Accessories,North,1,163,22.07,14-04-2022,,
O334,Smartphone,Electronics,West,9,9162,1625.62,14-04-2022,,
O335,Printer,Office,East,4,1440,130.24,14-04-2022,,
O336,Monitor,Accessories,South,5,1465,149.62,15-04-2022,,
O337,Monitor,Accessories,West,2,366,31.23,15-04-2022,,
O338,Camera,Electronics,South,5,3135,277.28,15-04-2022,,
O339,Keyboard,Accessories,North,2,630,161.04,15-04-2022,,
O340,Monitor,Accessories,South,1,213,42.94,15-04-2022,,
O341,Monitor,Accessories,North,4,3792,1092.85,15-04-2022,,
O342,Mouse,Accessories,East,2,1932,109.07,15-04-2022,,
O343,Keyboard,Accessories,West,4,4152,317.28,16-04-2022,,
O344,Smartphone,Electronics,North,7,3612,529.57,16-04-2022,,
O345,Smartphone,Electronics,East,2,2258,280.76,16-04-2022,,
O346,Camera,Electronics,South,3,594,47.73,16-04-2022,,
O347,Headphones,Accessories,West,7,8071,1799.06,17-04-2022,,
O348,Keyboard,Accessories,North,7,5838,631.45,17-04-2022,,
O349,Keyboard,Accessories,North,4,692,181.31,17-04-2022,,
O350,Keyboard,Accessories,South,3,1704,309.06,17-04-2022,,
O351,Printer,Office,South,5,3235,941.24,18-04-2022,,
O352,Mouse,Accessories,East,6,4746,545.57,20-04-2022,,
O353,Smartwatch,Electronics,South,8,7600,788.88,20-04-2022,,
O354,Smartphone,Electronics,West,5,1935,128.01,21-04-2022,,
O355,Laptop,Electronics,North,3,1638,306.29,21-04-2022,,
O356,Keyboard,Accessories,West,7,4746,816.6,21-04-2022,,
O357,Smartphone,Electronics,North,8,4824,1187.93,22-04-2022,,
O358,Camera,Electronics,South,1,1193,153.72,22-04-2022,,
O359,Laptop,Electronics,East,2,562,92.94,22-04-2022,,
O360,Smartphone,Electronics,North,8,6200,1296.84,23-04-2022,,
O361,Printer,Office,North,8,4128,315.48,23-04-2022,,
O362,Printer,Office,East,5,5405,326.56,23-04-2022,,
O363,Laptop,Electronics,North,3,1371,104.66,23-04-2022,,
O364,Keyboard,Accessories,West,5,1405,194.33,24-04-2022,,
O365,Keyboard,Accessories,North,3,1644,158.32,24-04-2022,,
O366,Mouse,Accessories,West,6,3414,396.92,24-04-2022,,
O367,Laptop,Electronics,East,8,3272,674.57,25-04-2022,,
O368,Smartphone,Electronics,North,3,2655,646.91,25-04-2022,,
O369,Smartwatch,Electronics,West,7,1673,458.32,25-04-2022,,
O370,Tablet,Electronics,East,2,846,145.09,26-04-2022,,
O371,Smartphone,Electronics,East,1,985,196.64,27-04-2022,,
O372,Smartwatch,Electronics,North,9,7551,894.4,27-04-2022,,
O373,Tablet,Electronics,North,5,855,217.16,28-04-2022,,
O374,Camera,Electronics,South,2,396,94.55,28-04-2022,,
O375,Tablet,Electronics,West,8,2296,560.48,28-04-2022,,
O376,Monitor,Accessories,North,6,1704,199.94,28-04-2022,,
O377,Smartphone,Electronics,East,2,1180,261.16,29-04-2022,,
O378,Smartphone,Electronics,East,3,411,55.73,29-04-2022,,
O379,Mouse,Accessories,East,1,745,151.22,30-04-2022,,
O380,Printer,Office,West,9,10656,961.3,30-04-2022,,
O381,Mouse,Accessories,South,3,1494,178.5,30-04-2022,,
O382,Camera,Electronics,South,5,1755,358.01,30-04-2022,,
O383,Camera,Electronics,South,9,4941,894.52,30-04-2022,,
O384,Smartwatch,Electronics,North,6,6510,1539.18,02-05-2022,,
O385,Smartphone,Electronics,South,5,5465,719.92,02-05-2022,,
O386,Tablet,Electronics,South,3,3522,285.91,02-05-2022,,
O387,Tablet,Electronics,West,6,1656,139.86,02-05-2022,,
O388,Printer,Office,North,5,1255,257.15,02-05-2022,,
O389,Keyboard,Accessories,East,1,1192,320.13,03-05-2022,,
O390,Tablet,Electronics,West,5,1925,204.74,03-05-2022,,
O391,Tablet,Electronics,West,8,1688,337.33,03-05-2022,,
O392,Headphones,Accessories,South,1,260,16.81,03-05-2022,,
O393,Monitor,Accessories,West,5,4880,1250.66,05-05-2022,,
O394,Keyboard,Accessories,West,7,1134,179.74,05-05-2022,,
O395,Laptop,Electronics,North,9,9621,1201.29,06-05-2022,,
O396,Monitor,Accessories,South,4,2836,698.83,06-05-2022,,
O397,Printer,Office,North,9,5859,1153.89,06-05-2022,,
O398,Smartwatch,Electronics,South,2,2044,460.03,07-05-2022,,
O399,Monitor,Accessories,South,1,612,174.52,07-05-2022,,
O400,Smartwatch,Electronics,North,3,1890,492.31,07-05-2022,,
O401,Smartwatch,Electronics,East,5,2025,168.82,08-05-2022,,
O402,Printer,Office,South,2,1960,312.06,08-05-2022,,
O403,Camera,Electronics,North,6,4410,893.27,08-05-2022,,
O404,Keyboard,Accessories,West,8,8272,2391.88,08-05-2022,,
O405,Smartwatch,Electronics,West,6,5712,638.29,09-05-2022,,
O406,Smartwatch,Electronics,North,6,1524,178.36,09-05-2022,,
O407,Keyboard,Accessories,North,8,5160,1057.41,09-05-2022,,
O408,Mouse,Accessories,East,4,2956,451.6,09-05-2022,,
O409,Smartphone,Electronics,West,8,7944,2257.73,09-05-2022,,
O410,Camera,Electronics,North,5,1815,535.22,09-05-2022,,
O411,Headphones,Accessories,North,3,2706,546.97,09-05-2022,,
O412,Laptop,Electronics,North,2,1356,144.18,10-05-2022,,
O413,Printer,Office,South,6,6384,1189.19,10-05-2022,,
O414,Smartwatch,Electronics,South,9,4248,964.12,10-05-2022,,
O415,Monitor,Accessories,North,6,3954,676.82,11-05-2022,,
O416,Smartphone,Electronics,South,6,7110,739.6,11-05-2022,,
O417,Headphones,Accessories,South,7,8113,995.03,11-05-2022,,
O418,Headphones,Accessories,North,3,1830,183.62,11-05-2022,,
O419,Keyboard,Accessories,West,4,3732,671.19,11-05-2022,,
O420,Mouse,Accessories,West,6,4062,1087.17,12-05-2022,,
O421,Smartwatch,Electronics,North,1,496,93.31,12-05-2022,,
O422,Smartwatch,Electronics,East,4,1104,84.31,12-05-2022,,
